,gravity
0,1213.0
1,177.0
2,1647.0
3,370.0
4,1393.0
5,351.0
6,1177.0
7,1177.0
8,217.0
9,175.0
10,1121.0
11,351.0
12,1341.0
13,1341.0
14,188.0
15,191.0
16,1237.0
17,1237.0
18,158.0
19,188.0
20,336.0
21,834.0
22,1656.0
23,1228.0
24,446.0
25,446.0
26,2106.0
27,1290.0
28,1648.0
29,206.0
30,1235.0
31,263.0
32,1393.0
33,1672.0
34,884.0
35,1663.0
36,95.0
37,1566.0
38,284.0
39,823.0
40,1668.0
41,1560.0
42,248.0
43,1264.0
44,172.0
45,1585.0
46,0.0
47,1585.0
48,273.0
49,1237.0
50,1651.0
51,1481.0
52,348.0
53,412.0
54,1415.0
55,1627.0
56,1685.0
57,1681.0
58,670.0
59,1149.0
60,1037.0
61,1205.0
62,1658.0
63,1233.0
64,1341.0
65,1213.0
66,1648.0
67,1236.0
68,1536.0
69,1585.0
70,1666.0
71,1289.0
72,1177.0
73,878.0
74,1317.0
75,1233.0
76,1315.0
77,336.0
78,1290.0
79,1177.0
80,1666.0
81,1024.0
82,971.0
83,1585.0
84,156.0
85,61.0
86,145.0
87,887.0
88,153.0
89,407.0
90,1585.0
91,144.0
92,1177.0
93,1149.0
94,0.0
95,1212.0
